GO,Cluster,Function
GO:0035508,42,P:positive regulation of myosin-light-chain-phosphatase activity
GO:0106134,22,P:positive regulation of cardiac muscle cell contraction
GO:0031443,28,P:fast-twitch skeletal muscle fiber contraction
GO:1903043,42,P:positive regulation of chondrocyte hypertrophy
GO:2000900,4,P:cyclodextrin metabolic process
GO:0050928,39,P:negative regulation of positive chemotaxis
GO:2000541,27,P:positive regulation of protein geranylgeranylation
GO:0051141,32,P:negative regulation of NK T cell proliferation
GO:0097052,4,P:L-kynurenine metabolic process
GO:1902616,20,P:acyl carnitine transmembrane transport
GO:1904649,14,P:regulation of fat cell apoptotic process
GO:1901696,17,P:cannabinoid biosynthetic process
GO:0009584,23,P:detection of visible light
GO:1905936,32,P:regulation of germ cell proliferation
GO:1990679,23,P:histone H4-K12 deacetylation
GO:0021757,23,P:caudate nucleus development
GO:0021758,23,P:putamen development
GO:0015679,49,P:plasma membrane copper ion transport
GO:1902601,20,P:silver ion transmembrane transport
GO:1902311,20,P:regulation of copper ion transmembrane transport
GO:0070731,23,P:cGMP transport
GO:0034343,23,P:type III interferon production
GO:1901303,39,P:negative regulation of cargo loading into COPII-coated vesicle
GO:0070862,27,P:negative regulation of protein exit from endoplasmic reticulum
GO:0060436,23,P:bronchiole morphogenesis
GO:0030538,23,P:embryonic genitalia morphogenesis
GO:0061115,23,P:lung proximal/distal axis specification
GO:0060496,6,P:mesenchymal-epithelial cell signaling involved in lung development
GO:0071338,32,P:positive regulation of hair follicle cell proliferation
GO:0050677,32,P:positive regulation of urothelial cell proliferation
GO:0060879,23,P:semicircular canal fusion
GO:0060661,23,P:submandibular salivary gland formation
GO:0050674,32,P:urothelial cell proliferation
GO:0070343,32,P:white fat cell proliferation
GO:0010533,40,P:regulation of activation of Janus kinase activity
GO:1901291,39,P:negative regulation of double-strand break repair via single-strand annealing
GO:0002398,43,P:MHC class Ib protein complex assembly
GO:0050823,23,P:peptide antigen stabilization
GO:0018276,23,P:isopeptide cross-linking via N6-glycyl-L-lysine
GO:0061343,23,P:cell adhesion involved in heart morphogenesis
GO:0006566,4,P:threonine metabolic process
GO:1905458,30,P:positive regulation of lymphoid progenitor cell differentiation
GO:0005993,11,P:trehalose catabolic process
GO:0005991,4,P:trehalose metabolic process
GO:1905492,18,P:positive regulation of branching morphogenesis of a nerve
GO:0000481,23,P:maturation of 5S rRNA
GO:0043519,23,P:regulation of myosin II filament organization
GO:0006863,23,P:purine nucleobase transport
GO:0021658,23,P:rhombomere 3 morphogenesis
GO:1904980,42,P:positive regulation of endosome organization
GO:2000027,23,P:regulation of animal organ morphogenesis
GO:1901027,11,P:dextrin catabolic process
GO:0000025,11,P:maltose catabolic process
GO:0005983,11,P:starch catabolic process
GO:1904924,39,P:negative regulation of mitophagy in response to mitochondrial depolarization
GO:0019742,4,P:pentacyclic triterpenoid metabolic process
GO:1904998,39,P:negative regulation of leukocyte adhesion to arterial endothelial cell
GO:0086027,23,P:AV node cell to bundle of His cell signaling
GO:0010045,23,P:response to nickel cation
GO:0086018,22,P:SA node cell to atrial cardiac muscle cell signaling
GO:0007066,23,P:female meiosis sister chromatid cohesion
GO:0000707,23,P:meiotic DNA recombinase assembly
GO:1903729,49,P:regulation of plasma membrane organization
GO:0034263,42,P:positive regulation of autophagy in response to ER overload
GO:0010070,23,P:zygote asymmetric cell division
GO:0071528,23,P:tRNA re-export from nucleus
GO:0009159,11,P:deoxyribonucleoside monophosphate catabolic process
GO:0150013,39,P:negative regulation of neuron projection arborization
GO:0022410,23,P:circadian sleep/wake cycle process
GO:0010840,23,"P:regulation of circadian sleep/wake cycle, wakefulness"
GO:0035921,23,P:desmosome disassembly
GO:0044085,23,P:cellular component biogenesis
GO:0044089,42,P:positive regulation of cellular component biogenesis
GO:0007063,23,P:regulation of sister chromatid cohesion
GO:0002447,23,P:eosinophil mediated immunity
GO:0110012,8,P:protein localization to P-body
GO:0002334,30,P:transitional two stage B cell differentiation
GO:0009107,17,P:lipoate biosynthetic process
GO:0140060,23,P:axon arborization
GO:0031439,42,P:positive regulation of mRNA cleavage
GO:2000975,30,P:positive regulation of pro-B cell differentiation
GO:1901346,39,P:negative regulation of vasculature development involved in avascular cornea development in camera-type eye
GO:1903661,42,P:positive regulation of complement-dependent cytotoxicity
GO:0035340,23,P:inosine transport
GO:0001544,23,P:initiation of primordial ovarian follicle growth
GO:0002274,23,P:myeloid leukocyte activation
GO:0042339,4,P:keratan sulfate metabolic process
GO:0002509,35,P:central tolerance induction to self antigen
GO:0002458,35,P:peripheral T cell tolerance induction
GO:2000410,23,P:regulation of thymocyte migration
GO:0035768,15,P:endothelial cell chemotaxis to fibroblast growth factor
GO:0002518,23,P:lymphocyte chemotaxis across high endothelial venule
GO:2000545,15,P:negative regulation of endothelial cell chemotaxis to fibroblast growth factor
GO:1904049,39,P:negative regulation of spontaneous neurotransmitter secretion
GO:0051582,42,P:positive regulation of neurotransmitter uptake
GO:0098972,23,P:anterograde dendritic transport of mitochondrion
GO:0034720,23,P:histone H3-K4 demethylation
GO:0062099,39,P:negative regulation of programmed necrotic cell death
GO:2000870,23,P:regulation of progesterone secretion
GO:0071335,32,P:hair follicle cell proliferation
GO:0035283,23,P:central nervous system segmentation
GO:0032307,39,P:negative regulation of prostaglandin secretion
GO:0140708,23,P:CAT tailing
GO:0031269,23,P:pseudopodium assembly
GO:0070757,13,P:interleukin-35-mediated signaling pathway
GO:0031959,45,P:mineralocorticoid receptor signaling pathway
GO:1902728,28,P:positive regulation of growth factor dependent skeletal muscle satellite cell proliferation
GO:0034050,23,P:programmed cell death induced by symbiont
GO:0006065,17,P:UDP-glucuronate biosynthetic process
GO:0046499,4,P:S-adenosylmethioninamine metabolic process
GO:1901339,23,P:regulation of store-operated calcium channel activity
GO:0048211,23,P:Golgi vesicle docking
GO:0052373,23,P:suppression of symbiont entry into host
GO:0086103,45,P:G protein-coupled receptor signaling pathway involved in heart process
GO:0060920,30,P:cardiac pacemaker cell differentiation
GO:0003172,23,P:sinoatrial valve development
GO:0140466,23,P:iron-sulfur cluster export from the mitochondrion
GO:1903331,42,P:positive regulation of iron-sulfur cluster assembly
GO:0003363,31,P:lamellipodium assembly involved in ameboidal cell migration
GO:0042247,23,P:establishment of planar polarity of follicular epithelium
GO:0042666,9,P:negative regulation of ectodermal cell fate specification
GO:0150033,27,P:negative regulation of protein localization to lysosome
GO:0097699,23,P:vascular endothelial cell response to fluid shear stress
GO:1902954,23,P:regulation of early endosome to recycling endosome transport
GO:0005998,11,P:xylulose catabolic process
GO:0042023,23,P:DNA endoreduplication
GO:1990261,11,P:pre-mRNA catabolic process
GO:0021988,23,P:olfactory lobe development
GO:0051261,23,P:protein depolymerization
GO:1904935,2,P:positive regulation of cell proliferation in midbrain
GO:1900480,17,P:regulation of diacylglycerol biosynthetic process
GO:1904815,27,"P:negative regulation of protein localization to chromosome, telomeric region"
GO:1902688,4,P:regulation of NAD metabolic process
GO:0036250,23,P:peroxisome transport along microtubule
GO:1903785,20,P:L-valine transmembrane transport
GO:1902977,43,P:mitotic DNA replication preinitiation complex assembly
GO:0098787,23,P:mRNA cleavage involved in mRNA processing
GO:0070054,23,"P:mRNA splicing, via endonucleolytic cleavage and ligation"
GO:1990579,16,P:peptidyl-serine trans-autophosphorylation
GO:1904426,42,P:positive regulation of GTP binding
GO:0021813,23,P:cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration
GO:1990654,32,P:sebum secreting cell proliferation
GO:0000388,23,P:spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0018400,23,P:peptidyl-proline hydroxylation to 3-hydroxy-L-proline
GO:0048069,23,P:eye pigmentation
GO:1905505,42,P:positive regulation of motile cilium assembly
GO:1903917,42,P:positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation
GO:1902310,16,P:positive regulation of peptidyl-serine dephosphorylation
GO:0032058,29,P:positive regulation of translational initiation in response to stress
GO:1905267,23,P:endonucleolytic cleavage involved in tRNA processing
GO:0043979,23,P:histone H2B-K5 acetylation
GO:2000618,38,P:regulation of histone H4-K16 acetylation
GO:1903463,19,P:regulation of mitotic cell cycle DNA replication
GO:0070302,23,P:regulation of stress-activated protein kinase signaling cascade
GO:2000730,21,P:regulation of termination of RNA polymerase I transcription
GO:0060696,11,P:regulation of phospholipid catabolic process
GO:0002280,35,P:monocyte activation involved in immune response
GO:1900749,23,P:(R)-carnitine transport
GO:0060731,42,P:positive regulation of intestinal epithelial structure maintenance
GO:0070715,23,P:sodium-dependent organic cation transport
GO:1901655,12,P:cellular response to ketone
GO:1990506,23,P:mitotic DNA-templated DNA replication
GO:0015843,23,P:methylammonium transport
GO:1904333,42,P:positive regulation of error-prone translesion synthesis
GO:0009855,23,P:determination of bilateral symmetry
GO:0090242,45,P:retinoic acid receptor signaling pathway involved in somitogenesis
GO:0051418,23,P:microtubule nucleation by microtubule organizing center
GO:1905413,23,P:regulation of dense core granule exocytosis
GO:0021972,34,P:corticospinal neuron axon guidance through spinal cord
GO:0050929,23,P:induction of negative chemotaxis
GO:0097212,23,P:lysosomal membrane organization
GO:0051641,23,P:cellular localization
GO:1902498,27,P:regulation of protein autoubiquitination
GO:1900044,27,P:regulation of protein K63-linked ubiquitination
GO:0010640,45,P:regulation of platelet-derived growth factor receptor signaling pathway
GO:0002364,23,P:NK T cell lineage commitment
GO:1901296,13,P:negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
GO:1905607,39,P:negative regulation of presynapse assembly
GO:1904723,43,P:negative regulation of Wnt-Frizzled-LRP5/6 complex assembly
GO:1904958,42,P:positive regulation of midbrain dopaminergic neuron differentiation
GO:0045813,13,"P:positive regulation of Wnt signaling pathway, calcium modulating pathway"
GO:0042663,9,P:regulation of endodermal cell fate specification
GO:1904292,23,P:regulation of ERAD pathway
GO:0120168,23,P:detection of hot stimulus involved in thermoception
GO:0120211,23,P:proacrosomal vesicle fusion
GO:0046108,4,P:uridine metabolic process
GO:1900039,12,P:positive regulation of cellular response to hypoxia
GO:0003327,9,P:type B pancreatic cell fate commitment
GO:0060580,23,P:ventral spinal cord interneuron fate determination
GO:0008626,13,P:granzyme-mediated apoptotic signaling pathway
GO:0072716,23,P:response to actinomycin D
GO:0072739,23,P:response to anisomycin
GO:0072720,23,P:response to dithiothreitol
GO:0072710,23,P:response to hydroxyurea
GO:0090032,1,P:negative regulation of steroid hormone biosynthetic process
GO:1904743,39,P:negative regulation of telomeric DNA binding
GO:1902824,42,P:positive regulation of late endosome to lysosome transport
GO:0120189,42,P:positive regulation of bile acid secretion
GO:0009946,23,P:proximal/distal axis specification
GO:0021512,23,P:spinal cord anterior/posterior patterning
GO:1903242,23,P:regulation of cardiac muscle hypertrophy in response to stress
GO:0006041,4,P:glucosamine metabolic process
GO:0034242,49,P:negative regulation of syncytium formation by plasma membrane fusion
GO:0110008,23,P:ncRNA deadenylation
GO:0009451,23,P:RNA modification
GO:0080129,43,P:proteasome core complex assembly
GO:0023061,23,P:signal release
GO:1901301,23,P:regulation of cargo loading into COPII-coated vesicle
GO:0090178,23,P:regulation of establishment of planar polarity involved in neural tube closure
GO:0032683,39,P:negative regulation of connective tissue growth factor production
GO:1902729,1,P:negative regulation of proteoglycan biosynthetic process
GO:0042038,23,"P:peptidyl-histidine methylation, to form tele-methylhistidine"
GO:0090069,23,P:regulation of ribosome biogenesis
GO:0070813,4,P:hydrogen sulfide metabolic process
GO:1904750,27,P:negative regulation of protein localization to nucleolus
GO:1903975,44,P:regulation of glial cell migration
GO:0090101,39,P:negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
GO:0090282,21,P:positive regulation of transcription involved in G2/M transition of mitotic cell cycle
GO:2001185,47,"P:regulation of CD8-positive, alpha-beta T cell activation"
GO:0033386,17,P:geranylgeranyl diphosphate biosynthetic process
GO:0038172,13,P:interleukin-33-mediated signaling pathway
GO:0120042,39,P:negative regulation of macrophage proliferation
GO:0150145,42,P:positive regulation of CD80 production
GO:0150142,42,P:positive regulation of CD86 production
GO:0010186,42,P:positive regulation of cellular defense response
GO:0010658,14,P:striated muscle cell apoptotic process
GO:1903545,12,P:cellular response to butyrate
GO:0061772,23,P:xenobiotic transport across blood-nerve barrier
GO:0010968,23,P:regulation of microtubule nucleation
GO:0060806,15,P:negative regulation of cell differentiation involved in embryonic placenta development
GO:1905174,22,P:regulation of vascular associated smooth muscle cell dedifferentiation
GO:0015727,23,P:lactate transport
GO:0060829,13,P:negative regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation
GO:0060930,9,P:sinoatrial node cell fate commitment
GO:0002302,47,"P:CD8-positive, alpha-beta T cell differentiation involved in immune response"
GO:1905319,31,P:mesenchymal stem cell migration
GO:1905609,5,P:positive regulation of smooth muscle cell-matrix adhesion
GO:1900280,47,"P:negative regulation of CD4-positive, alpha-beta T cell costimulation"
GO:0002857,42,P:positive regulation of natural killer cell mediated immune response to tumor cell
GO:0015961,11,P:diadenosine polyphosphate catabolic process
GO:0071544,11,P:diphosphoinositol polyphosphate catabolic process
GO:0110154,23,P:RNA decapping
GO:0090206,4,P:negative regulation of cholesterol metabolic process
GO:1903914,49,P:negative regulation of fusion of virus membrane with host plasma membrane
GO:0003144,23,P:embryonic heart tube formation
GO:1990466,23,P:protein autosumoylation
GO:0030392,11,P:fructosamine catabolic process
GO:0031427,23,P:response to methotrexate
GO:0042773,23,P:ATP synthesis coupled electron transport
GO:0008652,17,P:amino acid biosynthetic process
GO:0006571,17,P:tyrosine biosynthetic process
GO:0006593,11,P:ornithine catabolic process
GO:0006738,11,P:nicotinamide riboside catabolic process
GO:0046083,4,P:adenine metabolic process
GO:0006178,23,P:guanine salvage
GO:0046100,4,P:hypoxanthine metabolic process
GO:1904157,23,P:DN4 thymocyte differentiation
GO:1904518,8,P:protein localization to cytoplasmic microtubule plus-end
GO:0002333,30,P:transitional one stage B cell differentiation
GO:1905208,39,P:negative regulation of cardiocyte differentiation
GO:0051296,23,P:establishment of meiotic spindle orientation
GO:1902103,39,P:negative regulation of metaphase/anaphase transition of meiotic cell cycle
GO:2000097,5,P:regulation of smooth muscle cell-matrix adhesion
GO:0002901,14,P:mature B cell apoptotic process
GO:0060169,45,P:negative regulation of adenosine receptor signaling pathway
GO:0060407,39,P:negative regulation of penile erection
GO:0032261,23,P:purine nucleotide salvage
GO:0046111,17,P:xanthine biosynthetic process
GO:0000053,4,P:argininosuccinate metabolic process
GO:0034104,39,P:negative regulation of tissue remodeling
GO:1905589,49,P:positive regulation of L-arginine import across plasma membrane
GO:1905010,49,P:positive regulation of L-lysine import across plasma membrane
GO:1902632,42,P:positive regulation of membrane hyperpolarization
GO:0002016,23,P:regulation of blood volume by renin-angiotensin
GO:0070471,26,P:uterine smooth muscle contraction
GO:0044533,14,P:positive regulation of apoptotic process in another organism
GO:0010711,11,P:negative regulation of collagen catabolic process
GO:0060311,11,P:negative regulation of elastin catabolic process
GO:0090096,32,P:positive regulation of metanephric cap mesenchymal cell proliferation
GO:0038002,23,P:endocrine signaling
GO:0072255,22,P:metanephric glomerular mesangial cell development
GO:2000591,31,P:positive regulation of metanephric mesenchymal cell migration
GO:1905176,22,P:positive regulation of vascular associated smooth muscle cell dedifferentiation
GO:0038029,45,P:epidermal growth factor receptor signaling pathway via MAPK cascade
GO:0014008,42,P:positive regulation of microglia differentiation
GO:1905313,45,P:transforming growth factor beta receptor signaling pathway involved in heart development
GO:0060450,42,P:positive regulation of hindgut contraction
GO:0033059,23,P:cellular pigmentation
GO:0140668,42,P:positive regulation of oxytocin production
GO:0001984,33,P:artery vasodilation involved in baroreceptor response to increased systemic arterial blood pressure
GO:0048242,23,P:epinephrine secretion
GO:0046005,42,"P:positive regulation of circadian sleep/wake cycle, REM sleep"
GO:0032903,23,P:regulation of nerve growth factor production
GO:0048572,23,P:short-day photoperiodism
GO:0045818,11,P:negative regulation of glycogen catabolic process
GO:0006521,4,P:regulation of cellular amino acid metabolic process
GO:0060720,32,P:spongiotrophoblast cell proliferation
GO:0120190,39,P:negative regulation of bile acid secretion
GO:0061048,18,P:negative regulation of branching involved in lung morphogenesis
GO:0150129,42,P:positive regulation of interleukin-33 production
GO:0045994,29,P:positive regulation of translational initiation by iron
GO:1905242,23,"P:response to 3,3',5-triiodo-L-thyronine"
GO:0140460,23,P:response to Gram-negative bacterium
GO:1901554,23,P:response to paracetamol
GO:0140123,39,P:negative regulation of Lewy body formation
GO:0045343,1,P:regulation of MHC class I biosynthetic process
GO:0060550,42,"P:positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity"
GO:0060552,4,"P:positive regulation of fructose 1,6-bisphosphate metabolic process"
GO:1904440,49,P:positive regulation of iron ion import across plasma membrane
GO:1904445,39,P:negative regulation of establishment of Sertoli cell barrier
GO:0014805,5,P:smooth muscle adaptation
GO:1902251,14,P:negative regulation of erythrocyte apoptotic process
GO:0002664,35,P:regulation of T cell tolerance induction
GO:0035397,35,P:helper T cell enhancement of adaptive immune response
GO:0045065,30,P:cytotoxic T cell differentiation
GO:0090716,23,P:adaptive immune memory response
GO:0090720,35,P:primary adaptive immune response
GO:0002504,25,P:antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
GO:0032673,23,P:regulation of interleukin-4 production
GO:0071306,12,P:cellular response to vitamin E
GO:0031109,23,P:microtubule polymerization or depolymerization
GO:0071831,3,P:intermediate-density lipoprotein particle clearance
GO:0010877,23,P:lipid transport involved in lipid storage
GO:1903001,39,P:negative regulation of lipid transport across blood-brain barrier
GO:1902999,39,P:negative regulation of phospholipid efflux
GO:1901627,39,P:negative regulation of postsynaptic membrane organization
GO:1905855,42,P:positive regulation of heparan sulfate binding
GO:1905860,42,P:positive regulation of heparan sulfate proteoglycan binding
GO:1903002,42,P:positive regulation of lipid transport across blood-brain barrier
GO:1905890,3,P:regulation of cellular response to very-low-density lipoprotein particle stimulus
GO:0071830,3,P:triglyceride-rich lipoprotein particle clearance
GO:0060695,39,P:negative regulation of cholesterol transporter activity
GO:0010900,11,P:negative regulation of phosphatidylcholine catabolic process
GO:0034369,3,P:plasma lipoprotein particle remodeling
GO:0060697,11,P:positive regulation of phospholipid catabolic process
GO:0010987,3,P:negative regulation of high-density lipoprotein particle clearance
GO:2000261,39,"P:negative regulation of blood coagulation, common pathway"
GO:0045852,23,P:pH elevation
GO:0061756,23,P:leukocyte adhesion to vascular endothelial cell
GO:1903606,4,P:cytochrome c metabolic process
GO:0010819,15,P:regulation of T cell chemotaxis
GO:2000308,39,P:negative regulation of tumor necrosis factor (ligand) superfamily member 11 production
GO:0033594,23,P:response to hydroxyisoflavone
GO:1904035,14,P:regulation of epithelial cell apoptotic process
GO:0061692,23,P:cellular detoxification of hydrogen peroxide
GO:0080184,23,P:response to phenylpropanoid
GO:1904457,46,P:positive regulation of neuronal action potential
GO:0032652,23,P:regulation of interleukin-1 production
GO:0060683,18,P:regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling
GO:0031946,1,P:regulation of glucocorticoid biosynthetic process
GO:0003069,33,P:acetylcholine-mediated vasodilation involved in regulation of systemic arterial blood pressure
GO:0048773,23,P:erythrophore differentiation
GO:1905932,22,P:positive regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching
GO:0071000,23,P:response to magnetism
GO:0019544,11,P:arginine catabolic process to glutamate
GO:0010121,11,P:arginine catabolic process to proline via ornithine
GO:1904860,23,P:DNA synthesis involved in mitotic DNA replication
GO:0070571,39,P:negative regulation of neuron projection regeneration
GO:0035691,13,P:macrophage migration inhibitory factor signaling pathway
GO:0002792,39,P:negative regulation of peptide secretion
GO:0021588,23,P:cerebellum formation
GO:0022004,23,P:midbrain-hindbrain boundary maturation during brain development
GO:1903451,39,P:negative regulation of G1 to G0 transition
GO:1905856,39,P:negative regulation of pentose-phosphate shunt
GO:0062100,42,P:positive regulation of programmed necrotic cell death
GO:1902253,13,P:regulation of intrinsic apoptotic signaling pathway by p53 class mediator
GO:0019341,11,P:dibenzo-p-dioxin catabolic process
GO:0009692,4,P:ethylene metabolic process
GO:0017143,4,P:insecticide metabolic process
GO:0019860,4,P:uracil metabolic process
GO:0009441,4,P:glycolate metabolic process
GO:0014896,23,P:muscle hypertrophy
GO:0060283,39,P:negative regulation of oocyte development
GO:1904075,32,P:positive regulation of trophectodermal cell proliferation
GO:0031947,1,P:negative regulation of glucocorticoid biosynthetic process
GO:1903048,23,P:regulation of acetylcholine-gated cation channel activity
GO:1905945,41,P:regulation of response to calcium ion
GO:1905541,49,P:regulation of L-arginine import across plasma membrane
GO:0060588,39,P:negative regulation of lipoprotein lipid oxidation
GO:1903179,17,P:regulation of dopamine biosynthetic process
GO:1905627,17,P:regulation of serotonin biosynthetic process
GO:1900731,45,P:positive regulation of adenylate cyclase-inhibiting opioid receptor signaling pathway
GO:0150054,23,P:regulation of postsynaptic neurotransmitter receptor diffusion trapping
GO:0051611,23,P:regulation of serotonin uptake
GO:0040034,23,"P:regulation of development, heterochronic"
GO:0035491,42,P:positive regulation of leukotriene production involved in inflammatory response
GO:1901331,42,P:positive regulation of odontoblast differentiation
GO:0002149,17,P:hypochlorous acid biosynthetic process
GO:0009403,17,P:toxin biosynthetic process
GO:0018960,4,P:4-nitrophenol metabolic process
GO:0018910,4,P:benzene metabolic process
GO:0018885,4,P:carbon tetrachloride metabolic process
GO:0042197,4,P:halogenated hydrocarbon metabolic process
GO:0042822,4,P:pyridoxal phosphate metabolic process
GO:0043558,29,P:regulation of translational initiation in response to stress
GO:0060681,23,P:branch elongation involved in ureteric bud branching
GO:0072163,23,P:mesonephric epithelium development
GO:0070091,23,P:glucagon secretion
GO:0061888,23,P:regulation of astrocyte activation
GO:0031583,45,P:phospholipase D-activating G protein-coupled receptor signaling pathway
GO:0042313,23,P:protein kinase C deactivation
GO:0043179,23,P:rhythmic excitation
GO:0001910,23,P:regulation of leukocyte mediated cytotoxicity
GO:0002182,23,P:cytoplasmic translational elongation
GO:0140214,42,P:positive regulation of long-chain fatty acid import into cell
GO:2001245,1,P:regulation of phosphatidylcholine biosynthetic process
GO:0071045,11,P:nuclear histone mRNA catabolic process
GO:0003409,23,P:optic cup structural organization
GO:0048626,9,P:myoblast fate specification
GO:0150103,23,P:reactive gliosis
GO:0072286,23,P:metanephric connecting tubule development
GO:0006787,11,P:porphyrin-containing compound catabolic process
GO:0051249,23,P:regulation of lymphocyte activation
GO:0000304,23,P:response to singlet oxygen
GO:0050783,4,P:cocaine metabolic process
