,GO,Cluster,Function
50,GO:1902684,3,P:negative regulation of receptor localization to synapse
51,GO:0032802,3,P:low-density lipoprotein particle receptor catabolic process
52,GO:1905596,3,P:negative regulation of low-density lipoprotein particle receptor binding
53,GO:0032803,3,P:regulation of low-density lipoprotein particle receptor catabolic process
54,GO:0097006,3,P:regulation of plasma lipoprotein particle levels
55,GO:1902683,3,P:regulation of receptor localization to synapse
56,GO:0046092,4,P:deoxycytidine metabolic process
57,GO:0046341,4,P:CDP-diacylglycerol metabolic process
58,GO:0045763,4,P:negative regulation of cellular amino acid metabolic process
59,GO:2000900,4,P:cyclodextrin metabolic process
60,GO:0097052,4,P:L-kynurenine metabolic process
61,GO:0006566,4,P:threonine metabolic process
62,GO:0005991,4,P:trehalose metabolic process
63,GO:0019742,4,P:pentacyclic triterpenoid metabolic process
64,GO:0042339,4,P:keratan sulfate metabolic process
65,GO:0046499,4,P:S-adenosylmethioninamine metabolic process
66,GO:1902688,4,P:regulation of NAD metabolic process
67,GO:0046108,4,P:uridine metabolic process
68,GO:0006041,4,P:glucosamine metabolic process
69,GO:0070813,4,P:hydrogen sulfide metabolic process
70,GO:0090206,4,P:negative regulation of cholesterol metabolic process
71,GO:0046083,4,P:adenine metabolic process
72,GO:0046100,4,P:hypoxanthine metabolic process
73,GO:0000053,4,P:argininosuccinate metabolic process
74,GO:0006521,4,P:regulation of cellular amino acid metabolic process
75,GO:0060552,4,"P:positive regulation of fructose 1,6-bisphosphate metabolic process"
76,GO:1903606,4,P:cytochrome c metabolic process
77,GO:0009692,4,P:ethylene metabolic process
78,GO:0017143,4,P:insecticide metabolic process
79,GO:0019860,4,P:uracil metabolic process
80,GO:0009441,4,P:glycolate metabolic process
81,GO:0018960,4,P:4-nitrophenol metabolic process
82,GO:0018910,4,P:benzene metabolic process
83,GO:0018885,4,P:carbon tetrachloride metabolic process
84,GO:0042197,4,P:halogenated hydrocarbon metabolic process
85,GO:0042822,4,P:pyridoxal phosphate metabolic process
86,GO:0050783,4,P:cocaine metabolic process
87,GO:0016137,4,P:glycoside metabolic process
88,GO:0042214,4,P:terpene metabolic process
89,GO:0006106,4,P:fumarate metabolic process
90,GO:0051066,4,P:dihydrobiopterin metabolic process
91,GO:0009132,4,P:nucleoside diphosphate metabolic process
92,GO:0000023,4,P:maltose metabolic process
93,GO:0005985,4,P:sucrose metabolic process
94,GO:0006582,4,P:melanin metabolic process
95,GO:0090350,4,P:negative regulation of cellular organofluorine metabolic process
96,GO:0051171,4,P:regulation of nitrogen compound metabolic process
97,GO:0043603,4,P:amide metabolic process
98,GO:0019627,4,P:urea metabolic process
99,GO:0090346,4,P:cellular organofluorine metabolic process
100,GO:0016999,4,P:antibiotic metabolic process
101,GO:1903725,4,P:regulation of phospholipid metabolic process
102,GO:0043438,4,P:acetoacetic acid metabolic process
103,GO:1901751,4,P:leukotriene A4 metabolic process
104,GO:0033559,4,P:unsaturated fatty acid metabolic process
105,GO:0016101,4,P:diterpenoid metabolic process
106,GO:0070982,4,P:L-asparagine metabolic process
107,GO:0006547,4,P:histidine metabolic process
108,GO:0009445,4,P:putrescine metabolic process
109,GO:0006206,4,P:pyrimidine nucleobase metabolic process
110,GO:0019678,4,"P:propionate metabolic process, methylmalonyl pathway"
111,GO:0045940,4,P:positive regulation of steroid metabolic process
112,GO:1902224,4,P:ketone body metabolic process
113,GO:2001057,4,P:reactive nitrogen species metabolic process
114,GO:0045980,4,P:negative regulation of nucleotide metabolic process
115,GO:0061611,4,P:mannose to fructose-6-phosphate metabolic process
116,GO:0005984,4,P:disaccharide metabolic process
117,GO:0045338,4,P:farnesyl diphosphate metabolic process
118,GO:0019682,4,P:glyceraldehyde-3-phosphate metabolic process
119,GO:0006769,4,P:nicotinamide metabolic process
120,GO:0043170,4,P:macromolecule metabolic process
121,GO:0006083,4,P:acetate metabolic process
122,GO:0046874,4,P:quinolinate metabolic process
123,GO:0006014,4,P:D-ribose metabolic process
124,GO:0045213,4,P:neurotransmitter receptor metabolic process
125,GO:0008216,4,P:spermidine metabolic process
126,GO:0046054,4,P:dGMP metabolic process
127,GO:0019402,4,P:galactitol metabolic process
128,GO:0046458,4,P:hexadecanal metabolic process
129,GO:0006714,4,P:sesquiterpenoid metabolic process
130,GO:0036111,4,P:very long-chain fatty-acyl-CoA metabolic process
131,GO:0010712,4,P:regulation of collagen metabolic process
132,GO:0019747,4,P:regulation of isoprenoid metabolic process
133,GO:0019637,4,P:organophosphate metabolic process
134,GO:0034311,4,P:diol metabolic process
135,GO:0051164,4,P:L-xylitol metabolic process
136,GO:0052652,4,P:cyclic purine nucleotide metabolic process
137,GO:0019859,4,P:thymine metabolic process
138,GO:0006573,4,P:valine metabolic process
139,GO:0042414,4,P:epinephrine metabolic process
140,GO:0018964,4,P:propylene metabolic process
141,GO:0006666,4,P:3-keto-sphinganine metabolic process
142,GO:1901128,4,P:gentamycin metabolic process
143,GO:0042431,4,P:indole metabolic process
144,GO:2001304,4,P:lipoxin B4 metabolic process
145,GO:0018874,4,P:benzoate metabolic process
146,GO:0019605,4,P:butyrate metabolic process
147,GO:0046146,4,P:tetrahydrobiopterin metabolic process
148,GO:1901135,4,P:carbohydrate derivative metabolic process
149,GO:0006725,4,P:cellular aromatic compound metabolic process
150,GO:1901052,4,P:sarcosine metabolic process
151,GO:0036102,4,P:leukotriene B4 metabolic process
152,GO:0033979,4,P:box H/ACA RNA metabolic process
153,GO:1900210,4,P:positive regulation of cardiolipin metabolic process
154,GO:0042537,4,P:benzene-containing compound metabolic process
155,GO:0019255,4,P:glucose 1-phosphate metabolic process
156,GO:0046070,4,P:dGTP metabolic process
157,GO:0008617,4,P:guanosine metabolic process
158,GO:0046122,4,P:purine deoxyribonucleoside metabolic process
159,GO:0019482,4,P:beta-alanine metabolic process
160,GO:0000959,4,P:mitochondrial RNA metabolic process
161,GO:1903580,4,P:positive regulation of ATP metabolic process
162,GO:0009259,4,P:ribonucleotide metabolic process
163,GO:1901787,4,P:benzoyl-CoA metabolic process
164,GO:0006667,4,P:sphinganine metabolic process
165,GO:0016073,4,P:snRNA metabolic process
166,GO:0009200,4,P:deoxyribonucleoside triphosphate metabolic process
167,GO:2000212,4,P:negative regulation of glutamate metabolic process
168,GO:0033609,4,P:oxalate metabolic process
169,GO:1900542,4,P:regulation of purine nucleotide metabolic process
170,GO:0051174,4,P:regulation of phosphorus metabolic process
171,GO:0033383,4,P:geranyl diphosphate metabolic process
172,GO:0106121,4,P:positive regulation of cobalamin metabolic process
173,GO:0106064,4,P:regulation of cobalamin metabolic process
174,GO:0035498,4,P:carnosine metabolic process
175,GO:1901605,4,P:alpha-amino acid metabolic process
176,GO:0071704,4,P:organic substance metabolic process
177,GO:0032788,4,P:saturated monocarboxylic acid metabolic process
178,GO:0032789,4,P:unsaturated monocarboxylic acid metabolic process
179,GO:0150175,4,P:regulation of phosphatidylethanolamine metabolic process
180,GO:0150178,4,P:regulation of phosphatidylserine metabolic process
181,GO:0050655,4,P:dermatan sulfate proteoglycan metabolic process
182,GO:0046496,4,P:nicotinamide nucleotide metabolic process
183,GO:0042851,4,P:L-alanine metabolic process
184,GO:0019748,4,P:secondary metabolic process
185,GO:0046398,4,P:UDP-glucuronate metabolic process
186,GO:0046900,4,P:tetrahydrofolylpolyglutamate metabolic process
187,GO:0046031,4,P:ADP metabolic process
188,GO:0006577,4,P:amino-acid betaine metabolic process
189,GO:0050666,4,P:regulation of homocysteine metabolic process
190,GO:2000374,4,P:regulation of oxygen metabolic process
191,GO:0005996,4,P:monosaccharide metabolic process
192,GO:0030309,4,P:poly-N-acetyllactosamine metabolic process
193,GO:0019321,4,P:pentose metabolic process
194,GO:0046204,4,P:nor-spermidine metabolic process
195,GO:0046491,4,P:L-methylmalonyl-CoA metabolic process
196,GO:2000213,4,P:positive regulation of glutamate metabolic process
197,GO:0034255,4,P:regulation of urea metabolic process
198,GO:1903189,4,P:glyoxal metabolic process
199,GO:0016259,4,P:selenocysteine metabolic process
200,GO:0062173,4,P:brexanolone metabolic process
201,GO:0006681,4,P:galactosylceramide metabolic process
202,GO:0042357,4,P:thiamine diphosphate metabolic process
203,GO:0006668,4,P:sphinganine-1-phosphate metabolic process
204,GO:0046490,4,P:isopentenyl diphosphate metabolic process
205,GO:0046368,4,P:GDP-L-fucose metabolic process
206,GO:0043112,4,P:receptor metabolic process
207,GO:0016119,4,P:carotene metabolic process
208,GO:0016116,4,P:carotenoid metabolic process
209,GO:0006030,4,P:chitin metabolic process
210,GO:0033477,4,P:S-methylmethionine metabolic process
211,GO:0030389,4,P:fructosamine metabolic process
212,GO:0030393,4,P:fructoselysine metabolic process
213,GO:0009256,4,P:10-formyltetrahydrofolate metabolic process
214,GO:0044281,4,P:small molecule metabolic process
215,GO:1901810,4,P:beta-carotene metabolic process
216,GO:0033013,4,P:tetrapyrrole metabolic process
217,GO:0030656,4,P:regulation of vitamin metabolic process
218,GO:0006528,4,P:asparagine metabolic process
219,GO:0006639,4,P:acylglycerol metabolic process
220,GO:0006580,4,P:ethanolamine metabolic process
221,GO:0045834,4,P:positive regulation of lipid metabolic process
222,GO:0046041,4,P:ITP metabolic process
223,GO:0046051,4,P:UTP metabolic process
224,GO:0006797,4,P:polyphosphate metabolic process
225,GO:1901494,4,P:regulation of cysteine metabolic process
226,GO:2000211,4,P:regulation of glutamate metabolic process
227,GO:0046036,4,P:CTP metabolic process
228,GO:1903100,4,"P:1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process"
229,GO:0000820,4,P:regulation of glutamine family amino acid metabolic process
230,GO:0046381,4,P:CMP-N-acetylneuraminate metabolic process
231,GO:1905609,5,P:positive regulation of smooth muscle cell-matrix adhesion
232,GO:2000097,5,P:regulation of smooth muscle cell-matrix adhesion
233,GO:0014805,5,P:smooth muscle adaptation
234,GO:0014895,5,P:smooth muscle hypertrophy
235,GO:0003245,5,P:cardiac muscle tissue growth involved in heart morphogenesis
236,GO:1901081,5,P:negative regulation of relaxation of smooth muscle
237,GO:0044557,5,P:relaxation of smooth muscle
238,GO:0061350,5,P:planar cell polarity pathway involved in cardiac muscle tissue morphogenesis
239,GO:1904177,5,P:regulation of adipose tissue development
240,GO:0055024,5,P:regulation of cardiac muscle tissue development
241,GO:0060427,5,P:lung connective tissue development
242,GO:1901863,5,P:positive regulation of muscle tissue development
243,GO:0045844,5,P:positive regulation of striated muscle tissue development
244,GO:0055017,5,P:cardiac muscle tissue growth
245,GO:1905899,5,P:regulation of smooth muscle tissue development
246,GO:0060496,6,P:mesenchymal-epithelial cell signaling involved in lung development
247,GO:0072192,6,P:ureter epithelial cell differentiation
248,GO:2000697,6,P:negative regulation of epithelial cell differentiation involved in kidney development
249,GO:0061580,6,P:colon epithelial cell migration
250,GO:0060739,6,P:mesenchymal-epithelial cell signaling involved in prostate gland development
251,GO:1905226,6,P:regulation of adhesion of symbiont to host epithelial cell
252,GO:0072308,6,P:negative regulation of metanephric nephron tubule epithelial cell differentiation
253,GO:0060768,6,P:regulation of epithelial cell proliferation involved in prostate gland development
254,GO:1904442,6,P:negative regulation of thyroid gland epithelial cell proliferation
255,GO:2000696,6,P:regulation of epithelial cell differentiation involved in kidney development
256,GO:0061582,6,P:intestinal epithelial cell migration
257,GO:0003412,6,P:establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis
258,GO:0030862,6,P:positive regulation of polarized epithelial cell differentiation
259,GO:0044345,6,P:stromal-epithelial cell signaling involved in prostate gland development
260,GO:0072183,6,P:negative regulation of nephron tubule epithelial cell differentiation
261,GO:0030860,6,P:regulation of polarized epithelial cell differentiation
262,GO:0006436,7,P:tryptophanyl-tRNA aminoacylation
263,GO:0070150,7,P:mitochondrial glycyl-tRNA aminoacylation
264,GO:0006437,7,P:tyrosyl-tRNA aminoacylation
265,GO:0006430,7,P:lysyl-tRNA aminoacylation
266,GO:0070127,7,P:tRNA aminoacylation for mitochondrial protein translation
267,GO:0070143,7,P:mitochondrial alanyl-tRNA aminoacylation
268,GO:0070145,7,P:mitochondrial asparaginyl-tRNA aminoacylation
269,GO:0070159,7,P:mitochondrial threonyl-tRNA aminoacylation
270,GO:0070158,7,P:mitochondrial seryl-tRNA aminoacylation
271,GO:0070183,7,P:mitochondrial tryptophanyl-tRNA aminoacylation
272,GO:0070184,7,P:mitochondrial tyrosyl-tRNA aminoacylation
273,GO:1903564,8,P:regulation of protein localization to cilium
274,GO:0090152,8,P:establishment of protein localization to mitochondrial membrane involved in mitochondrial fission
275,GO:1902946,8,P:protein localization to early endosome
276,GO:0110012,8,P:protein localization to P-body
277,GO:1904518,8,P:protein localization to cytoplasmic microtubule plus-end
278,GO:0090151,8,P:establishment of protein localization to mitochondrial membrane
279,GO:0150107,8,P:positive regulation of protein localization to cell-cell junction
280,GO:1904702,8,P:regulation of protein localization to adherens junction
281,GO:0072666,8,P:establishment of protein localization to vacuole
282,GO:1905871,8,P:regulation of protein localization to cell leading edge
283,GO:1903096,8,P:protein localization to meiotic spindle midzone
284,GO:0072663,8,P:establishment of protein localization to peroxisome
285,GO:0106272,8,P:protein localization to ERGIC
286,GO:1903394,8,P:protein localization to kinetochore involved in kinetochore assembly
287,GO:1904850,8,P:negative regulation of establishment of protein localization to telomere
288,GO:1904377,8,P:positive regulation of protein localization to cell periphery
289,GO:1902889,8,P:protein localization to spindle microtubule
290,GO:0071206,8,P:establishment of protein localization to juxtaparanode region of axon
291,GO:1903540,8,P:establishment of protein localization to postsynaptic membrane
292,GO:0070202,8,P:regulation of establishment of protein localization to chromosome
293,GO:1902365,8,P:positive regulation of protein localization to spindle pole body
294,GO:0072595,8,P:maintenance of protein localization in organelle
295,GO:1902888,8,P:protein localization to astral microtubule
296,GO:1904777,8,P:negative regulation of protein localization to cell cortex
297,GO:0035750,8,P:protein localization to myelin sheath abaxonal region
298,GO:1903420,8,P:protein localization to endoplasmic reticulum tubular network
299,GO:0072599,8,P:establishment of protein localization to endoplasmic reticulum
300,GO:1902682,8,P:protein localization to pericentric heterochromatin
301,GO:0062237,8,P:protein localization to postsynapse
302,GO:0045175,8,P:basal protein localization
303,GO:1904372,8,P:positive regulation of protein localization to actin cortical patch
304,GO:1903119,8,P:protein localization to actin cytoskeleton
305,GO:1990778,8,P:protein localization to cell periphery
306,GO:1904867,8,P:protein localization to Cajal body
307,GO:1904375,8,P:regulation of protein localization to cell periphery
308,GO:1902480,8,P:protein localization to mitotic spindle
309,GO:0150106,8,P:regulation of protein localization to cell-cell junction
310,GO:1903621,8,P:protein localization to photoreceptor connecting cilium
311,GO:1904779,8,P:regulation of protein localization to centrosome
312,GO:1904950,8,P:negative regulation of establishment of protein localization
313,GO:1904108,8,P:protein localization to ciliary inversin compartment
314,GO:1903778,8,P:protein localization to vacuolar membrane
315,GO:1905872,8,P:negative regulation of protein localization to cell leading edge
316,GO:0061938,8,P:protein localization to somatodendritic compartment
317,GO:1903569,8,P:positive regulation of protein localization to ciliary membrane
318,GO:0060853,9,P:Notch signaling pathway involved in arterial endothelial cell fate commitment
319,GO:0045167,9,P:asymmetric protein localization involved in cell fate determination
320,GO:0042666,9,P:negative regulation of ectodermal cell fate specification
321,GO:0042663,9,P:regulation of endodermal cell fate specification
322,GO:0003327,9,P:type B pancreatic cell fate commitment
323,GO:0060930,9,P:sinoatrial node cell fate commitment
324,GO:0048626,9,P:myoblast fate specification
325,GO:0042660,9,P:positive regulation of cell fate specification
326,GO:0060010,9,P:Sertoli cell fate commitment
327,GO:0042694,9,P:muscle cell fate specification
328,GO:0001712,9,P:ectodermal cell fate commitment
329,GO:0021778,9,P:oligodendrocyte cell fate specification
330,GO:0060847,9,P:endothelial cell fate specification
331,GO:0048378,9,P:regulation of lateral mesodermal cell fate specification
332,GO:0048337,9,P:positive regulation of mesodermal cell fate specification
333,GO:0060795,9,P:cell fate commitment involved in formation of primary germ layer
334,GO:0061445,9,P:endocardial cushion cell fate commitment
335,GO:0060844,9,P:arterial endothelial cell fate commitment
336,GO:0097101,9,P:blood vessel endothelial cell fate specification
337,GO:0060220,9,P:camera-type eye photoreceptor cell fate commitment
338,GO:0001830,9,P:trophectodermal cell fate commitment
339,GO:0001710,9,P:mesodermal cell fate commitment
340,GO:0042669,9,P:regulation of inner ear auditory receptor cell fate specification
341,GO:0042668,9,P:auditory receptor cell fate determination
342,GO:0042667,9,P:auditory receptor cell fate specification
343,GO:0048327,9,P:axial mesodermal cell fate specification
344,GO:0042664,9,P:negative regulation of endodermal cell fate specification
345,GO:2000043,9,P:regulation of cardiac cell fate specification
346,GO:0060803,9,P:BMP signaling pathway involved in mesodermal cell fate specification
347,GO:0097026,10,P:dendritic cell dendrite assembly
348,GO:2000548,10,P:negative regulation of dendritic cell dendrite assembly
349,GO:0002270,10,P:plasmacytoid dendritic cell activation
350,GO:0002266,10,P:follicular dendritic cell activation
351,GO:2000547,10,P:regulation of dendritic cell dendrite assembly
352,GO:0002731,10,P:negative regulation of dendritic cell cytokine production
353,GO:0002737,10,P:negative regulation of plasmacytoid dendritic cell cytokine production
354,GO:2000549,10,P:positive regulation of dendritic cell dendrite assembly
355,GO:2000509,10,P:negative regulation of dendritic cell chemotaxis
356,GO:2000508,10,P:regulation of dendritic cell chemotaxis
357,GO:0036116,11,P:long-chain fatty-acyl-CoA catabolic process
358,GO:0062175,11,P:brexanolone catabolic process
359,GO:0019606,11,P:2-oxobutyrate catabolic process
360,GO:0005993,11,P:trehalose catabolic process
361,GO:1901027,11,P:dextrin catabolic process
362,GO:0000025,11,P:maltose catabolic process
363,GO:0005983,11,P:starch catabolic process
364,GO:0009159,11,P:deoxyribonucleoside monophosphate catabolic process
365,GO:0005998,11,P:xylulose catabolic process
366,GO:1990261,11,P:pre-mRNA catabolic process
367,GO:0060696,11,P:regulation of phospholipid catabolic process
368,GO:0015961,11,P:diadenosine polyphosphate catabolic process
369,GO:0071544,11,P:diphosphoinositol polyphosphate catabolic process
370,GO:0030392,11,P:fructosamine catabolic process
371,GO:0006593,11,P:ornithine catabolic process
372,GO:0006738,11,P:nicotinamide riboside catabolic process
373,GO:0010711,11,P:negative regulation of collagen catabolic process
374,GO:0060311,11,P:negative regulation of elastin catabolic process
375,GO:0045818,11,P:negative regulation of glycogen catabolic process
376,GO:0010900,11,P:negative regulation of phosphatidylcholine catabolic process
377,GO:0060697,11,P:positive regulation of phospholipid catabolic process
378,GO:0019544,11,P:arginine catabolic process to glutamate
379,GO:0010121,11,P:arginine catabolic process to proline via ornithine
380,GO:0019341,11,P:dibenzo-p-dioxin catabolic process
381,GO:0071045,11,P:nuclear histone mRNA catabolic process
382,GO:0006787,11,P:porphyrin-containing compound catabolic process
383,GO:0046479,11,P:glycosphingolipid catabolic process
384,GO:1901136,11,P:carbohydrate derivative catabolic process
385,GO:0006258,11,P:UDP-glucose catabolic process
386,GO:0046164,11,P:alcohol catabolic process
387,GO:0009214,11,P:cyclic nucleotide catabolic process
388,GO:0010813,11,P:neuropeptide catabolic process
389,GO:2000892,11,P:cellobiose catabolic process
390,GO:0005990,11,P:lactose catabolic process
391,GO:1901733,11,P:quercetin catabolic process
392,GO:0005987,11,P:sucrose catabolic process
393,GO:0042840,11,P:D-glucuronate catabolic process
394,GO:0055130,11,P:D-alanine catabolic process
395,GO:0036088,11,P:D-serine catabolic process
396,GO:1905828,11,P:regulation of prostaglandin catabolic process
397,GO:0045819,11,P:positive regulation of glycogen catabolic process
398,GO:1901662,11,P:quinone catabolic process
399,GO:0046359,11,P:butyrate catabolic process
400,GO:0043602,11,P:nitrate catabolic process
401,GO:0046210,11,P:nitric oxide catabolic process
402,GO:0072340,11,P:lactam catabolic process
403,GO:1902000,11,P:homogentisate catabolic process
404,GO:0070980,11,P:biphenyl catabolic process
405,GO:1900082,11,P:negative regulation of arginine catabolic process
406,GO:1901170,11,P:naphthalene catabolic process
407,GO:0006049,11,P:UDP-N-acetylglucosamine catabolic process
408,GO:0046434,11,P:organophosphate catabolic process
409,GO:0009104,11,P:lipopolysaccharide catabolic process
410,GO:0042413,11,P:carnitine catabolic process
411,GO:0071545,11,P:inositol phosphate catabolic process
412,GO:0036113,11,P:very long-chain fatty-acyl-CoA catabolic process
413,GO:0046272,11,P:stilbene catabolic process
414,GO:0030211,11,P:heparin catabolic process
415,GO:0006152,11,P:purine nucleoside catabolic process
416,GO:0070407,11,P:oxidation-dependent protein catabolic process
417,GO:1903285,11,P:positive regulation of hydrogen peroxide catabolic process
418,GO:0010816,11,P:calcitonin catabolic process
419,GO:0009114,11,P:hypoxanthine catabolic process
420,GO:0009115,11,P:xanthine catabolic process
421,GO:0019442,11,P:tryptophan catabolic process to acetyl-CoA
422,GO:0009154,11,P:purine ribonucleotide catabolic process
423,GO:0015964,11,P:diadenosine triphosphate catabolic process
424,GO:0010905,11,P:negative regulation of UDP-glucose catabolic process
425,GO:0006711,11,P:estrogen catabolic process
426,GO:0046657,11,P:folic acid catabolic process
427,GO:0001695,11,P:histamine catabolic process
428,GO:0019518,11,P:L-threonine catabolic process to glycine
429,GO:1901565,11,P:organonitrogen compound catabolic process
430,GO:0019376,11,P:galactolipid catabolic process
431,GO:0072389,11,P:flavin adenine dinucleotide catabolic process
432,GO:0042182,11,P:ketone catabolic process
433,GO:0009087,11,P:methionine catabolic process
434,GO:0051160,11,P:L-xylitol catabolic process
435,GO:0006062,11,P:sorbitol catabolic process
436,GO:0071040,11,P:nuclear polyadenylation-dependent antisense transcript catabolic process
437,GO:0006713,11,P:glucocorticoid catabolic process
438,GO:2000753,11,P:positive regulation of glucosylceramide catabolic process
439,GO:1904025,11,P:positive regulation of glucose catabolic process to lactate via pyruvate
440,GO:0006145,11,P:purine nucleobase catabolic process
441,GO:0006214,11,P:thymidine catabolic process
442,GO:1903626,11,P:positive regulation of DNA catabolic process
443,GO:0043470,11,P:regulation of carbohydrate catabolic process
444,GO:1903069,11,P:regulation of ER-associated ubiquitin-dependent protein catabolic process
445,GO:0034213,11,P:quinolinate catabolic process
446,GO:0070478,11,"P:nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay"
447,GO:1903625,11,P:negative regulation of DNA catabolic process
448,GO:0090410,11,P:malonate catabolic process
449,GO:1900151,11,"P:regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
450,GO:2000626,11,P:negative regulation of miRNA catabolic process
451,GO:0046057,11,P:dADP catabolic process
452,GO:0046067,11,P:dGDP catabolic process
453,GO:0033345,11,P:asparagine catabolic process via L-aspartate
454,GO:1903457,11,P:lactate catabolic process
455,GO:0009071,11,P:serine family amino acid catabolic process
456,GO:0006539,11,P:glutamate catabolic process via 2-oxoglutarate
457,GO:0045339,11,P:farnesyl diphosphate catabolic process
458,GO:1902247,11,P:geranylgeranyl diphosphate catabolic process
459,GO:0036115,11,P:fatty-acyl-CoA catabolic process
460,GO:0043630,11,P:ncRNA polyadenylation involved in polyadenylation-dependent ncRNA catabolic process
461,GO:1903965,11,P:monounsaturated fatty acid catabolic process
462,GO:0035863,11,P:dITP catabolic process
463,GO:0016077,11,P:sno(s)RNA catabolic process
464,GO:0032361,11,P:pyridoxal phosphate catabolic process
465,GO:0016261,11,P:selenocysteine catabolic process
466,GO:0019440,11,P:tryptophan catabolic process to indole-3-acetate
467,GO:0019478,11,P:D-amino acid catabolic process
468,GO:0061727,11,P:methylglyoxal catabolic process to lactate
469,GO:0070481,11,"P:nuclear-transcribed mRNA catabolic process, non-stop decay"
470,GO:0042219,11,P:cellular modified amino acid catabolic process
471,GO:0046709,11,P:IDP catabolic process
472,GO:0009204,11,P:deoxyribonucleoside triphosphate catabolic process
473,GO:0006193,11,P:ITP catabolic process
474,GO:0019481,11,"P:L-alanine catabolic process, by transamination"
475,GO:0062172,11,P:lutein catabolic process
476,GO:1901176,11,P:lycopene catabolic process
477,GO:0016124,11,P:xanthophyll catabolic process
478,GO:1901826,11,P:zeaxanthin catabolic process
479,GO:0006253,11,P:dCTP catabolic process
480,GO:0120158,11,P:positive regulation of collagen catabolic process
481,GO:1902369,11,P:negative regulation of RNA catabolic process
482,GO:0016095,11,P:polyprenol catabolic process
483,GO:0006254,11,P:CTP catabolic process
484,GO:0046052,11,P:UTP catabolic process
485,GO:1901292,11,P:nucleoside phosphate catabolic process
486,GO:0009895,11,P:negative regulation of catabolic process
487,GO:0046521,11,P:sphingoid catabolic process
488,GO:0033514,11,P:L-lysine catabolic process to acetyl-CoA via L-pipecolate
489,GO:0046135,11,P:pyrimidine nucleoside catabolic process
490,GO:0019310,11,P:inositol catabolic process
491,GO:0046296,11,P:glycolate catabolic process
492,GO:0009191,11,P:ribonucleoside diphosphate catabolic process
