,Unnamed: 0,GO,Function
10915,10915,GO:0021813,P:cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration
11123,11123,GO:1990654,P:sebum secreting cell proliferation
11152,11152,GO:0000388,P:spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
11251,11251,GO:0018400,P:peptidyl-proline hydroxylation to 3-hydroxy-L-proline
11334,11334,GO:0048069,P:eye pigmentation
11363,11363,GO:1905505,P:positive regulation of motile cilium assembly
11371,11371,GO:1903917,P:positive regulation of endoplasmic reticulum stress-induced eIF2 alpha dephosphorylation
11372,11372,GO:1902310,P:positive regulation of peptidyl-serine dephosphorylation
11374,11374,GO:0032058,P:positive regulation of translational initiation in response to stress
11396,11396,GO:1905267,P:endonucleolytic cleavage involved in tRNA processing
11460,11460,GO:0043979,P:histone H2B-K5 acetylation
11481,11481,GO:2000618,P:regulation of histone H4-K16 acetylation
11484,11484,GO:1903463,P:regulation of mitotic cell cycle DNA replication
11487,11487,GO:0070302,P:regulation of stress-activated protein kinase signaling cascade
11488,11488,GO:2000730,P:regulation of termination of RNA polymerase I transcription
11511,11511,GO:0060696,P:regulation of phospholipid catabolic process
11664,11664,GO:0002280,P:monocyte activation involved in immune response
11936,11936,GO:1900749,P:(R)-carnitine transport
11939,11939,GO:0060731,P:positive regulation of intestinal epithelial structure maintenance
11945,11945,GO:0070715,P:sodium-dependent organic cation transport
12044,12044,GO:1901655,P:cellular response to ketone
12053,12053,GO:1990506,P:mitotic DNA-templated DNA replication
12104,12104,GO:0015843,P:methylammonium transport
12116,12116,GO:1904333,P:positive regulation of error-prone translesion synthesis
12127,12127,GO:0009855,P:determination of bilateral symmetry
12158,12158,GO:0090242,P:retinoic acid receptor signaling pathway involved in somitogenesis
12205,12205,GO:0051418,P:microtubule nucleation by microtubule organizing center
12220,12220,GO:1905413,P:regulation of dense core granule exocytosis
12232,12232,GO:0021972,P:corticospinal neuron axon guidance through spinal cord
12233,12233,GO:0050929,P:induction of negative chemotaxis
12275,12275,GO:0097212,P:lysosomal membrane organization
12302,12302,GO:0051641,P:cellular localization
12385,12385,GO:1902498,P:regulation of protein autoubiquitination
12386,12386,GO:1900044,P:regulation of protein K63-linked ubiquitination
12404,12404,GO:0010640,P:regulation of platelet-derived growth factor receptor signaling pathway
12414,12414,GO:0002364,P:NK T cell lineage commitment
12457,12457,GO:1901296,P:negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
12464,12464,GO:1905607,P:negative regulation of presynapse assembly
12468,12468,GO:1904723,P:negative regulation of Wnt-Frizzled-LRP5/6 complex assembly
12473,12473,GO:1904958,P:positive regulation of midbrain dopaminergic neuron differentiation
12476,12476,GO:0045813,"P:positive regulation of Wnt signaling pathway, calcium modulating pathway"
12479,12479,GO:0042663,P:regulation of endodermal cell fate specification
12570,12570,GO:1904292,P:regulation of ERAD pathway
12579,12579,GO:0120168,P:detection of hot stimulus involved in thermoception
12651,12651,GO:0120211,P:proacrosomal vesicle fusion
12659,12659,GO:0046108,P:uridine metabolic process
12691,12691,GO:1900039,P:positive regulation of cellular response to hypoxia
12745,12745,GO:0003327,P:type B pancreatic cell fate commitment
12746,12746,GO:0060580,P:ventral spinal cord interneuron fate determination
12793,12793,GO:0008626,P:granzyme-mediated apoptotic signaling pathway
12996,12996,GO:0072716,P:response to actinomycin D
12997,12997,GO:0072739,P:response to anisomycin
12998,12998,GO:0072720,P:response to dithiothreitol
12999,12999,GO:0072710,P:response to hydroxyurea
13044,13044,GO:0090032,P:negative regulation of steroid hormone biosynthetic process
13088,13088,GO:1904743,P:negative regulation of telomeric DNA binding
13180,13180,GO:1902824,P:positive regulation of late endosome to lysosome transport
13229,13229,GO:0120189,P:positive regulation of bile acid secretion
13257,13257,GO:0009946,P:proximal/distal axis specification
13393,13393,GO:0021512,P:spinal cord anterior/posterior patterning
13425,13425,GO:1903242,P:regulation of cardiac muscle hypertrophy in response to stress
13431,13431,GO:0006041,P:glucosamine metabolic process
13455,13455,GO:0034242,P:negative regulation of syncytium formation by plasma membrane fusion
13571,13571,GO:0110008,P:ncRNA deadenylation
13578,13578,GO:0009451,P:RNA modification
13583,13583,GO:0080129,P:proteasome core complex assembly
13675,13675,GO:0023061,P:signal release
13701,13701,GO:1901301,P:regulation of cargo loading into COPII-coated vesicle
13702,13702,GO:0090178,P:regulation of establishment of planar polarity involved in neural tube closure
13732,13732,GO:0032683,P:negative regulation of connective tissue growth factor production
13735,13735,GO:1902729,P:negative regulation of proteoglycan biosynthetic process
13756,13756,GO:0042038,"P:peptidyl-histidine methylation, to form tele-methylhistidine"
13758,13758,GO:0090069,P:regulation of ribosome biogenesis
13763,13763,GO:0070813,P:hydrogen sulfide metabolic process
13776,13776,GO:1904750,P:negative regulation of protein localization to nucleolus
13835,13835,GO:1903975,P:regulation of glial cell migration
13844,13844,GO:0090101,P:negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway
13934,13934,GO:0090282,P:positive regulation of transcription involved in G2/M transition of mitotic cell cycle
13961,13961,GO:2001185,"P:regulation of CD8-positive, alpha-beta T cell activation"
13984,13984,GO:0033386,P:geranylgeranyl diphosphate biosynthetic process
14032,14032,GO:0038172,P:interleukin-33-mediated signaling pathway
14038,14038,GO:0120042,P:negative regulation of macrophage proliferation
14042,14042,GO:0150145,P:positive regulation of CD80 production
14043,14043,GO:0150142,P:positive regulation of CD86 production
14044,14044,GO:0010186,P:positive regulation of cellular defense response
14169,14169,GO:0010658,P:striated muscle cell apoptotic process
14220,14220,GO:1903545,P:cellular response to butyrate
14241,14241,GO:0061772,P:xenobiotic transport across blood-nerve barrier
14247,14247,GO:0010968,P:regulation of microtubule nucleation
14305,14305,GO:0060806,P:negative regulation of cell differentiation involved in embryonic placenta development
14375,14375,GO:1905174,P:regulation of vascular associated smooth muscle cell dedifferentiation
14386,14386,GO:0015727,P:lactate transport
14414,14414,GO:0060829,P:negative regulation of canonical Wnt signaling pathway involved in neural plate anterior/posterior pattern formation
14419,14419,GO:0060930,P:sinoatrial node cell fate commitment
14428,14428,GO:0002302,"P:CD8-positive, alpha-beta T cell differentiation involved in immune response"
14473,14473,GO:1905319,P:mesenchymal stem cell migration
14491,14491,GO:1905609,P:positive regulation of smooth muscle cell-matrix adhesion
14507,14507,GO:1900280,"P:negative regulation of CD4-positive, alpha-beta T cell costimulation"
14514,14514,GO:0002857,P:positive regulation of natural killer cell mediated immune response to tumor cell
14562,14562,GO:0015961,P:diadenosine polyphosphate catabolic process
14563,14563,GO:0071544,P:diphosphoinositol polyphosphate catabolic process
14565,14565,GO:0110154,P:RNA decapping
14584,14584,GO:0090206,P:negative regulation of cholesterol metabolic process
14585,14585,GO:1903914,P:negative regulation of fusion of virus membrane with host plasma membrane
14676,14676,GO:0003144,P:embryonic heart tube formation
14696,14696,GO:1990466,P:protein autosumoylation
14899,14899,GO:0030392,P:fructosamine catabolic process
14919,14919,GO:0031427,P:response to methotrexate
14937,14937,GO:0042773,P:ATP synthesis coupled electron transport
14948,14948,GO:0008652,P:amino acid biosynthetic process
14952,14952,GO:0006571,P:tyrosine biosynthetic process
15030,15030,GO:0006593,P:ornithine catabolic process
15046,15046,GO:0006738,P:nicotinamide riboside catabolic process
15056,15056,GO:0046083,P:adenine metabolic process
15066,15066,GO:0006178,P:guanine salvage
15067,15067,GO:0046100,P:hypoxanthine metabolic process
15112,15112,GO:1904157,P:DN4 thymocyte differentiation
15184,15184,GO:1904518,P:protein localization to cytoplasmic microtubule plus-end
15211,15211,GO:0002333,P:transitional one stage B cell differentiation
15232,15232,GO:1905208,P:negative regulation of cardiocyte differentiation
15275,15275,GO:0051296,P:establishment of meiotic spindle orientation
15278,15278,GO:1902103,P:negative regulation of metaphase/anaphase transition of meiotic cell cycle
15409,15409,GO:2000097,P:regulation of smooth muscle cell-matrix adhesion
15481,15481,GO:0002901,P:mature B cell apoptotic process
15483,15483,GO:0060169,P:negative regulation of adenosine receptor signaling pathway
15488,15488,GO:0060407,P:negative regulation of penile erection
15501,15501,GO:0032261,P:purine nucleotide salvage
15513,15513,GO:0046111,P:xanthine biosynthetic process
15533,15533,GO:0000053,P:argininosuccinate metabolic process
15639,15639,GO:0034104,P:negative regulation of tissue remodeling
15660,15660,GO:1905589,P:positive regulation of L-arginine import across plasma membrane
15661,15661,GO:1905010,P:positive regulation of L-lysine import across plasma membrane
15663,15663,GO:1902632,P:positive regulation of membrane hyperpolarization
15680,15680,GO:0002016,P:regulation of blood volume by renin-angiotensin
15699,15699,GO:0070471,P:uterine smooth muscle contraction
15729,15729,GO:0044533,P:positive regulation of apoptotic process in another organism
15780,15780,GO:0010711,P:negative regulation of collagen catabolic process
15782,15782,GO:0060311,P:negative regulation of elastin catabolic process
15883,15883,GO:0090096,P:positive regulation of metanephric cap mesenchymal cell proliferation
15946,15946,GO:0038002,P:endocrine signaling
15977,15977,GO:0072255,P:metanephric glomerular mesangial cell development
16009,16009,GO:2000591,P:positive regulation of metanephric mesenchymal cell migration
16021,16021,GO:1905176,P:positive regulation of vascular associated smooth muscle cell dedifferentiation
16068,16068,GO:0038029,P:epidermal growth factor receptor signaling pathway via MAPK cascade
16184,16184,GO:0014008,P:positive regulation of microglia differentiation
16232,16232,GO:1905313,P:transforming growth factor beta receptor signaling pathway involved in heart development
16301,16301,GO:0060450,P:positive regulation of hindgut contraction
16368,16368,GO:0033059,P:cellular pigmentation
16377,16377,GO:0140668,P:positive regulation of oxytocin production
16499,16499,GO:0001984,P:artery vasodilation involved in baroreceptor response to increased systemic arterial blood pressure
16592,16592,GO:0048242,P:epinephrine secretion
16616,16616,GO:0046005,"P:positive regulation of circadian sleep/wake cycle, REM sleep"
16651,16651,GO:0032903,P:regulation of nerve growth factor production
16656,16656,GO:0048572,P:short-day photoperiodism
16673,16673,GO:0045818,P:negative regulation of glycogen catabolic process
16711,16711,GO:0006521,P:regulation of cellular amino acid metabolic process
16752,16752,GO:0060720,P:spongiotrophoblast cell proliferation
16815,16815,GO:0120190,P:negative regulation of bile acid secretion
16817,16817,GO:0061048,P:negative regulation of branching involved in lung morphogenesis
16877,16877,GO:0150129,P:positive regulation of interleukin-33 production
16919,16919,GO:0045994,P:positive regulation of translational initiation by iron
16937,16937,GO:1905242,"P:response to 3,3',5-triiodo-L-thyronine"
16943,16943,GO:0140460,P:response to Gram-negative bacterium
16948,16948,GO:1901554,P:response to paracetamol
17084,17084,GO:0140123,P:negative regulation of Lewy body formation
17095,17095,GO:0045343,P:regulation of MHC class I biosynthetic process
17131,17131,GO:0060550,"P:positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity"
17132,17132,GO:0060552,"P:positive regulation of fructose 1,6-bisphosphate metabolic process"
17140,17140,GO:1904440,P:positive regulation of iron ion import across plasma membrane
17183,17183,GO:1904445,P:negative regulation of establishment of Sertoli cell barrier
17309,17309,GO:0014805,P:smooth muscle adaptation
17323,17323,GO:1902251,P:negative regulation of erythrocyte apoptotic process
17364,17364,GO:0002664,P:regulation of T cell tolerance induction
17413,17413,GO:0035397,P:helper T cell enhancement of adaptive immune response
17442,17442,GO:0045065,P:cytotoxic T cell differentiation
17480,17480,GO:0090716,P:adaptive immune memory response
17492,17492,GO:0090720,P:primary adaptive immune response
17549,17549,GO:0002504,P:antigen processing and presentation of peptide or polysaccharide antigen via MHC class II
17600,17600,GO:0032673,P:regulation of interleukin-4 production
17644,17644,GO:0071306,P:cellular response to vitamin E
17756,17756,GO:0031109,P:microtubule polymerization or depolymerization
17895,17895,GO:0071831,P:intermediate-density lipoprotein particle clearance
17898,17898,GO:0010877,P:lipid transport involved in lipid storage
17921,17921,GO:1903001,P:negative regulation of lipid transport across blood-brain barrier
17927,17927,GO:1902999,P:negative regulation of phospholipid efflux
17929,17929,GO:1901627,P:negative regulation of postsynaptic membrane organization
17950,17950,GO:1905855,P:positive regulation of heparan sulfate binding
17951,17951,GO:1905860,P:positive regulation of heparan sulfate proteoglycan binding
17953,17953,GO:1903002,P:positive regulation of lipid transport across blood-brain barrier
17970,17970,GO:1905890,P:regulation of cellular response to very-low-density lipoprotein particle stimulus
17986,17986,GO:0071830,P:triglyceride-rich lipoprotein particle clearance
18005,18005,GO:0060695,P:negative regulation of cholesterol transporter activity
18040,18040,GO:0010900,P:negative regulation of phosphatidylcholine catabolic process
18044,18044,GO:0034369,P:plasma lipoprotein particle remodeling
18063,18063,GO:0060697,P:positive regulation of phospholipid catabolic process
18078,18078,GO:0010987,P:negative regulation of high-density lipoprotein particle clearance
18101,18101,GO:2000261,"P:negative regulation of blood coagulation, common pathway"
18208,18208,GO:0045852,P:pH elevation
18284,18284,GO:0061756,P:leukocyte adhesion to vascular endothelial cell
18346,18346,GO:1903606,P:cytochrome c metabolic process
18443,18443,GO:0010819,P:regulation of T cell chemotaxis
18518,18518,GO:2000308,P:negative regulation of tumor necrosis factor (ligand) superfamily member 11 production
18585,18585,GO:0033594,P:response to hydroxyisoflavone
18628,18628,GO:1904035,P:regulation of epithelial cell apoptotic process
18809,18809,GO:0061692,P:cellular detoxification of hydrogen peroxide
18834,18834,GO:0080184,P:response to phenylpropanoid
18937,18937,GO:1904457,P:positive regulation of neuronal action potential
19028,19028,GO:0032652,P:regulation of interleukin-1 production
19066,19066,GO:0060683,P:regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling
19170,19170,GO:0031946,P:regulation of glucocorticoid biosynthetic process
